"","CountryCode","Ranking","CountryName","GDP"
"135","SSD",131,"South Sudan"," 10,220 "
"136","MDG",132,"Madagascar"," 9,975 "
"137","ARM",133,"Armenia"," 9,951 "
"138","ZWE",134,"Zimbabwe"," 9,802 "
"139","MKD",135,"Macedonia, FYR"," 9,613 "
"140","LAO",136,"Lao PDR"," 9,418 "
"141","MLT",137,"Malta"," 8,722 "
"142","BHS",138,"Bahamas, The"," 8,149 "
"143","HTI",139,"Haiti"," 7,843 "
"144","BEN",140,"Benin"," 7,557 "
"145","MDA",141,"Moldova"," 7,253 "
"146","RWA",142,"Rwanda"," 7,103 "
"147","TJK",143,"Tajikistan"," 6,972 "
"148","NER",144,"Niger"," 6,773 "
"149","KGZ",145,"Kyrgyz Republic"," 6,475 "
"150","KSV",146,"Kosovo"," 6,445 "
"151","MCO",147,"Monaco"," 6,075 "
"152","GIN",148,"Guinea"," 5,632 "
"153","BMU",149,"Bermuda"," 5,474 "
"154","SUR",150,"Suriname"," 5,012 "
"155","MNE",151,"Montenegro"," 4,373 "
"156","MWI",152,"Malawi"," 4,264 "
"157","BRB",153,"Barbados"," 4,225 "
"158","MRT",154,"Mauritania"," 4,199 "
"159","FJI",155,"Fiji"," 3,908 "
"160","TGO",156,"Togo"," 3,814 "
"161","SLE",157,"Sierra Leone"," 3,796 "
"162","SWZ",158,"Swaziland"," 3,744 "
"163","ERI",159,"Eritrea"," 3,092 "
"164","GUY",160,"Guyana"," 2,851 "
"165","ABW",161,"Aruba"," 2,584 "
"166","BDI",162,"Burundi"," 2,472 "
"167","LSO",163,"Lesotho"," 2,448 "
"168","MDV",164,"Maldives"," 2,222 "
"169","CAF",165,"Central African Republic"," 2,184 "
"170","CPV",166,"Cape Verde"," 1,827 "
"171","BTN",167,"Bhutan"," 1,780 "
"172","LBR",168,"Liberia"," 1,734 "
"173","BLZ",169,"Belize"," 1,493 "
"174","TMP",170,"Timor-Leste"," 1,293 "
"175","LCA",171,"St. Lucia"," 1,239 "
"176","ATG",172,"Antigua and Barbuda"," 1,134 "
"177","SYC",173,"Seychelles"," 1,129 "
"178","SLB",174,"Solomon Islands"," 1,008 "
"179","GMB",175,"Gambia, The"," 917 "
"180","GNB",176,"Guinea-Bissau"," 822 "
"181","VUT",177,"Vanuatu"," 787 "
"182","GRD",178,"Grenada"," 767 "
"183","KNA",178,"St. Kitts and Nevis"," 767 "
"184","VCT",180,"St. Vincent and the Grenadines"," 713 "
"185","WSM",181,"Samoa"," 684 "
"186","COM",182,"Comoros"," 596 "
"187","DMA",183,"Dominica"," 480 "
"188","TON",184,"Tonga"," 472 "
"189","FSM",185,"Micronesia, Fed. Sts."," 326 "
"190","STP",186,"São Tomé and Principe"," 263 "
"191","PLW",187,"Palau"," 228 "
"192","MHL",188,"Marshall Islands"," 182 "
"193","KIR",189,"Kiribati"," 175 "
"194","TUV",190,"Tuvalu"," 40 "
